"","ranges","date","Account_age","n","percent"
"1","Group A","2020-08-21",0,23376,0.540735600277585
"2","Group A","2020-08-21",1,11387,0.263405042794356
"3","Group A","2020-08-21",2,8467,0.195859356928059
"4","Group B","2020-08-21",3,7805,0.365985182406452
"5","Group B","2020-08-21",4,6945,0.32565882021945
"6","Group B","2020-08-21",5,6576,0.308355997374097
"7","Group C","2020-08-21",6,7461,0.270120560443141
"8","Group C","2020-08-21",7,8799,0.318561963723254
"9","Group C","2020-08-21",8,11361,0.411317475833605
"10","Group D","2020-08-21",9,11851,0.403246112491068
"11","Group D","2020-08-21",10,7741,0.263397869951342
"12","Group D","2020-08-21",11,8828,0.300384497601143
"13","Group D","2020-08-21",12,774,0.0263363843614958
"14","Group D","2020-08-21",13,194,0.00660110925856613
"15","Group D","2020-08-21",14,1,3.40263363843615e-05
