"","time","day","date","sentiment","n","contestant"
"1","17 pm","Friday",2020-08-21,"negative",45,"sevilla"
"2","17 pm","Friday",2020-08-21,"positive",204,"sevilla"
"3","18 pm","Friday",2020-08-21,"negative",225,"sevilla"
"4","18 pm","Friday",2020-08-21,"positive",703,"sevilla"
"5","19 pm","Friday",2020-08-21,"negative",1911,"sevilla"
"6","19 pm","Friday",2020-08-21,"positive",2677,"sevilla"
"7","20 pm","Friday",2020-08-21,"negative",2452,"sevilla"
"8","20 pm","Friday",2020-08-21,"positive",4683,"sevilla"
"9","21 pm","Friday",2020-08-21,"negative",1734,"sevilla"
"10","21 pm","Friday",2020-08-21,"positive",5275,"sevilla"
"11","22 pm","Friday",2020-08-21,"negative",331,"sevilla"
"12","22 pm","Friday",2020-08-21,"positive",951,"sevilla"
"13","23 pm","Friday",2020-08-21,"negative",8,"sevilla"
"14","23 pm","Friday",2020-08-21,"positive",37,"sevilla"
"15","17 pm","Friday",2020-08-21,"negative",4," inter milan"
"16","17 pm","Friday",2020-08-21,"positive",42," inter milan"
"17","18 pm","Friday",2020-08-21,"negative",18," inter milan"
"18","18 pm","Friday",2020-08-21,"positive",134," inter milan"
"19","19 pm","Friday",2020-08-21,"negative",130," inter milan"
"20","19 pm","Friday",2020-08-21,"positive",202," inter milan"
"21","20 pm","Friday",2020-08-21,"negative",79," inter milan"
"22","20 pm","Friday",2020-08-21,"positive",215," inter milan"
"23","21 pm","Friday",2020-08-21,"negative",104," inter milan"
"24","21 pm","Friday",2020-08-21,"positive",419," inter milan"
"25","22 pm","Friday",2020-08-21,"negative",19," inter milan"
"26","22 pm","Friday",2020-08-21,"positive",92," inter milan"
"27","23 pm","Friday",2020-08-21,"negative",1," inter milan"
"28","23 pm","Friday",2020-08-21,"positive",5," inter milan"
