"","word","n","contestant"
"1","sevila",23220,"sevilla"
"2","inter",8983,"sevilla"
"3","europa",8470,"sevilla"
"4","league",7850,"sevilla"
"5","bsevila",7769,"sevilla"
"6","brt",4929,"sevilla"
"7","milan",4049,"sevilla"
"8","win",3495,"sevilla"
"9","fin",3005,"sevilla"
"10","live",2655,"sevilla"
"11","uelfin",2655,"sevilla"
"12","sevilafc",2579,"sevilla"
"13","game",2068,"sevilla"
"14","uel",2052,"sevilla"
"15","sevilainter",1846,"sevilla"
"16","europeague",1823,"sevilla"
"17","lukaku",1621,"sevilla"
"18","stream",1573,"sevilla"
"19","won",1525,"sevilla"
"20","wining",1481,"sevilla"
"21","inter",4364," inter milan"
"22","milan",3640," inter milan"
"23","sevila",2404," inter milan"
"24","live",1761," inter milan"
"25","europa",1274," inter milan"
"26","league",1192," inter milan"
"27","stream",1006," inter milan"
"28","fin",877," inter milan"
"29","brt",845," inter milan"
"30","bsevila",785," inter milan"
"31","hd",379," inter milan"
"32","win",361," inter milan"
"33","lukaku",349," inter milan"
"34","fre",340," inter milan"
"35","watch",333," inter milan"
"36","xfxfxxa",248," inter milan"
"37","fc",220," inter milan"
"38","uelfin",217," inter milan"
"39","planet",210," inter milan"
"40","uefa",198," inter milan"
"41","brt",42,"dora"
"42","adorable",25,"dora"
"43","jesus",23,"dora"
"44","dora",19,"dora"
"45","love",13,"dora"
"46","diego",11,"dora"
"47","dorathy",10,"dora"
"48","unapologeticdorathy",10,"dora"
"49","eudora",7,"dora"
"50","sevila",7,"dora"
"51","bighit",6,"dora"
"52","bnaija",6,"dora"
"53","brother",6,"dora"
"54","chloe",6,"dora"
"55","christ",6,"dora"
"56","cream",6,"dora"
"57","figueiredo",6,"dora"
"58","forudimila",6,"dora"
"59","ice",6,"dora"
"60","stark",6,"dora"
"61","sulista",6,"dora"
"62","tony",6,"dora"
