"","time","word","n"
"1","17 pm","goal",31
"2","18 pm","goal",109
"3","19 pm","goal",2330
"4","20 pm","goal",3560
"5","21 pm","goal",1806
"6","22 pm","goal",435
"7","23 pm","goal",28
"8","17 pm"," won",11
"9","18 pm"," won",129
"10","19 pm"," won",620
"11","20 pm"," won",1066
"12","21 pm"," won",1616
"13","22 pm"," won",440
"14","23 pm"," won",26
"15","17 pm"," league",28
"16","18 pm"," league",52
"17","19 pm"," league",436
"18","20 pm"," league",1079
"19","21 pm"," league",1129
"20","22 pm"," league",229
"21","23 pm"," league",10
