"","date","word","n"
"1","2020-08-21","sevilla",23198
"2","2020-08-21","jesus",18221
"3","2020-08-21","lukaku",15430
"4","2020-08-21","inter",12504
"5","2020-08-21","europa",10022
"6","2020-08-21","league",9880
"7","2020-08-21","bsevilla",7760
"8","2020-08-21","carlos",6062
"9","2020-08-21","final",5834
"10","2020-08-21","goal",5394
"11","2020-08-21","blukaku",5233
"12","2020-08-21","people",5170
"13","2020-08-21","win",5123
"14","2020-08-21","jong",5002
"15","2020-08-21","diego",4948
"16","2020-08-21","uelfinal",4757
"17","2020-08-21","milan",4693
"18","2020-08-21","game",4603
"19","2020-08-21","de",4513
"20","2020-08-21","bi",4380
"21","2020-08-21","amp",4175
"22","2020-08-21","xfxfxx",4153
"23","2020-08-21","uel",4090
"24","2020-08-21","jordan",4015
"25","2020-08-21","time",3832
"26","2020-08-21","christ",3719
"27","2020-08-21","love",3576
"28","2020-08-21","live",3508
"29","2020-08-21","god",3243
"30","2020-08-21","united",3145
